"",BBSSY.D.REN.EUR.A630.000000WT1010.A,BBSSY.D.REN.EUR.A630.000000WT1010.A_FLAGS,BBSSY.D.REN.EUR.A620.000000WT0505.A,BBSSY.D.REN.EUR.A620.000000WT0505.A_FLAGS,BBSSY.D.REN.EUR.A610.000000WT0202.A,BBSSY.D.REN.EUR.A610.000000WT0202.A_FLAGS
"",Daily yield of the current 10 year federal bond,,Daily yield of the current five-year Federal notes,,Daily yield of the current (two-year) Federal Treasury notes,
unit,PROZENT,,PROZENT,,PROZENT,
unit multiplier,one,,one,,one,
last update,2024-04-29 12:32:56,,2024-04-29 12:32:55,,2024-04-29 12:32:41,
2019-03-18,0.08,,-0.34,,-0.54,
2019-03-19,0.08,,-0.34,,-0.54,
2019-03-20,0.10,,-0.32,,-0.53,
2019-03-21,0.05,,-0.36,,-0.54,
2019-03-22,0.00,,-0.39,,-0.56,
2019-03-23,.,No value available,.,No value available,.,No value available
2019-03-24,.,No value available,.,No value available,.,No value available
2019-03-25,0.00,,-0.39,,-0.57,
2019-03-26,-0.02,,-0.39,,-0.57,
2019-03-27,-0.06,,-0.41,,-0.58,
2019-03-28,-0.07,,-0.45,,-0.59,
2019-03-29,-0.06,,-0.44,,-0.61,
2019-03-30,.,No value available,.,No value available,.,No value available
2019-03-31,.,No value available,.,No value available,.,No value available
2019-04-01,-0.04,,-0.44,,-0.61,
2019-04-02,-0.04,,-0.43,,-0.61,
2019-04-03,-0.01,,-0.41,,-0.60,
2019-04-04,0.00,,-0.42,,-0.59,
2019-04-05,0.01,,-0.40,,-0.58,
2019-04-06,.,No value available,.,No value available,.,No value available
2019-04-07,.,No value available,.,No value available,.,No value available
2019-04-08,0.00,,-0.41,,-0.58,
2019-04-09,0.01,,-0.41,,-0.58,
2019-04-10,-0.01,,-0.41,,-0.58,
2019-04-11,-0.03,,-0.44,,-0.60,
2019-04-12,0.02,,-0.40,,-0.58,
2019-04-13,.,No value available,.,No value available,.,No value available
2019-04-14,.,No value available,.,No value available,.,No value available
2019-04-15,0.06,,-0.37,,-0.56,
2019-04-16,0.07,,-0.39,,-0.57,
2019-04-17,0.09,,-0.36,,-0.57,
2019-04-18,0.04,,-0.38,,-0.58,
2019-04-19,.,No value available,.,No value available,.,No value available
2019-04-20,.,No value available,.,No value available,.,No value available
2019-04-21,.,No value available,.,No value available,.,No value available
2019-04-22,.,No value available,.,No value available,.,No value available
2019-04-23,0.05,,-0.39,,-0.58,
2019-04-24,0.02,,-0.40,,-0.58,
2019-04-25,-0.01,,-0.43,,-0.60,
2019-04-26,-0.02,,-0.44,,-0.60,
2019-04-27,.,No value available,.,No value available,.,No value available
2019-04-28,.,No value available,.,No value available,.,No value available
2019-04-29,0.00,,-0.43,,-0.59,
2019-04-30,0.04,,-0.40,,-0.58,
2019-05-01,.,Missing value; holiday or weekend,.,Missing value; holiday or weekend,.,Missing value; holiday or weekend
2019-05-02,0.02,,-0.41,,-0.59,
2019-05-03,0.04,,-0.40,,-0.59,
2019-05-04,.,No value available,.,No value available,.,No value available
2019-05-05,.,No value available,.,No value available,.,No value available
2019-05-06,0.01,,-0.42,,-0.60,
2019-05-07,-0.01,,-0.44,,-0.60,
2019-05-08,-0.04,,-0.46,,-0.61,
2019-05-09,-0.06,,-0.47,,-0.63,
2019-05-10,-0.04,,-0.46,,-0.62,
2019-05-11,.,No value available,.,No value available,.,No value available
2019-05-12,.,No value available,.,No value available,.,No value available
2019-05-13,-0.05,,-0.47,,-0.62,
2019-05-14,-0.06,,-0.48,,-0.63,
2019-05-15,-0.10,,-0.52,,-0.66,
2019-05-16,-0.12,,-0.52,,-0.66,
2019-05-17,-0.11,,-0.52,,-0.66,
2019-05-18,.,No value available,.,No value available,.,No value available
2019-05-19,.,No value available,.,No value available,.,No value available
2019-05-20,-0.09,,-0.51,,-0.64,
2019-05-21,-0.09,,-0.51,,-0.64,
2019-05-22,-0.07,,-0.49,,-0.63,
2019-05-23,-0.10,,-0.52,,-0.64,
2019-05-24,-0.12,,-0.52,,-0.64,
2019-05-25,.,No value available,.,No value available,.,No value available
2019-05-26,.,No value available,.,No value available,.,No value available
2019-05-27,-0.13,,-0.53,,-0.64,
2019-05-28,-0.16,,-0.55,,-0.65,
2019-05-29,-0.17,,-0.56,,-0.65,
2019-05-30,-0.16,,-0.55,,-0.65,
2019-05-31,-0.21,,-0.58,,-0.68,
2019-06-01,.,No value available,.,No value available,.,No value available
2019-06-02,.,No value available,.,No value available,.,No value available
2019-06-03,-0.21,,-0.58,,-0.67,
2019-06-04,-0.21,,-0.57,,-0.66,
2019-06-05,-0.21,,-0.57,,-0.66,
2019-06-06,-0.24,,-0.61,,-0.69,
2019-06-07,-0.23,,-0.58,,-0.66,
2019-06-08,.,No value available,.,No value available,.,No value available
2019-06-09,.,No value available,.,No value available,.,No value available
2019-06-10,.,Missing value; holiday or weekend,.,Missing value; holiday or weekend,.,Missing value; holiday or weekend
2019-06-11,-0.22,,-0.59,,-0.68,
2019-06-12,-0.24,,-0.59,,-0.68,
2019-06-13,-0.24,,-0.60,,-0.69,
2019-06-14,-0.26,,-0.62,,-0.70,
2019-06-15,.,No value available,.,No value available,.,No value available
2019-06-16,.,No value available,.,No value available,.,No value available
2019-06-17,-0.25,,-0.60,,-0.70,
2019-06-18,-0.30,,-0.65,,-0.75,
2019-06-19,-0.30,,-0.65,,-0.75,
2019-06-20,-0.31,,-0.65,,-0.75,
2019-06-21,-0.30,,-0.64,,-0.75,
2019-06-22,.,No value available,.,No value available,.,No value available
2019-06-23,.,No value available,.,No value available,.,No value available
2019-06-24,-0.31,,-0.65,,-0.75,
2019-06-25,-0.31,,-0.65,,-0.74,
2019-06-26,-0.32,,-0.65,,-0.74,
2019-06-27,-0.30,,-0.63,,-0.73,
2019-06-28,-0.32,,-0.65,,-0.74,
2019-06-29,.,No value available,.,No value available,.,No value available
2019-06-30,.,No value available,.,No value available,.,No value available
2019-07-01,-0.33,,-0.67,,-0.75,
2019-07-02,-0.36,,-0.69,,-0.77,
2019-07-03,-0.39,,-0.66,,-0.78,
2019-07-04,-0.39,,-0.65,,-0.76,
2019-07-05,-0.39,,-0.65,,-0.76,
2019-07-06,.,No value available,.,No value available,.,No value available
2019-07-07,.,No value available,.,No value available,.,No value available
2019-07-08,-0.37,,-0.64,,-0.75,
2019-07-09,-0.35,,-0.62,,-0.74,
2019-07-10,-0.26,,-0.58,,-0.73,
2019-07-11,-0.27,,-0.61,,-0.74,
2019-07-12,-0.20,,-0.56,,-0.73,
2019-07-13,.,No value available,.,No value available,.,No value available
2019-07-14,.,No value available,.,No value available,.,No value available
2019-07-15,-0.23,,-0.59,,-0.74,
2019-07-16,-0.27,,-0.61,,-0.74,
2019-07-17,-0.28,,-0.61,,-0.75,
2019-07-18,-0.30,,-0.64,,-0.75,
2019-07-19,-0.32,,-0.66,,-0.77,
2019-07-20,.,No value available,.,No value available,.,No value available
2019-07-21,.,No value available,.,No value available,.,No value available
2019-07-22,-0.33,,-0.67,,-0.78,
2019-07-23,-0.34,,-0.67,,-0.78,
2019-07-24,-0.37,,-0.69,,-0.79,
2019-07-25,-0.39,,-0.69,,-0.79,
2019-07-26,-0.37,,-0.67,,-0.76,
2019-07-27,.,No value available,.,No value available,.,No value available
2019-07-28,.,No value available,.,No value available,.,No value available
2019-07-29,-0.39,,-0.68,,-0.77,
2019-07-30,-0.40,,-0.68,,-0.76,
2019-07-31,-0.41,,-0.69,,-0.77,
2019-08-01,-0.42,,-0.70,,-0.77,
2019-08-02,-0.49,,-0.74,,-0.79,
2019-08-03,.,No value available,.,No value available,.,No value available
2019-08-04,.,No value available,.,No value available,.,No value available
2019-08-05,-0.53,,-0.75,,-0.80,
2019-08-06,-0.53,,-0.77,,-0.82,
2019-08-07,-0.57,,-0.79,,-0.83,
2019-08-08,-0.56,,-0.81,,-0.84,
2019-08-09,-0.59,,-0.82,,-0.87,
2019-08-10,.,No value available,.,No value available,.,No value available
2019-08-11,.,No value available,.,No value available,.,No value available
2019-08-12,-0.59,,-0.84,,-0.88,
2019-08-13,-0.61,,-0.84,,-0.88,
2019-08-14,-0.63,,-0.86,,-0.88,
2019-08-15,-0.66,,-0.87,,-0.89,
2019-08-16,-0.71,,-0.88,,-0.91,
2019-08-17,.,No value available,.,No value available,.,No value available
2019-08-18,.,No value available,.,No value available,.,No value available
2019-08-19,-0.65,,-0.87,,-0.90,
2019-08-20,-0.67,,-0.91,,-0.91,
2019-08-21,-0.66,,-0.90,,-0.90,
2019-08-22,-0.66,,-0.88,,-0.88,
2019-08-23,-0.62,,-0.86,,-0.87,
2019-08-24,.,No value available,.,No value available,.,No value available
2019-08-25,.,No value available,.,No value available,.,No value available
2019-08-26,-0.66,,-0.88,,-0.89,
2019-08-27,-0.67,,-0.88,,-0.89,
2019-08-28,-0.71,,-0.89,,-0.90,
2019-08-29,-0.69,,-0.89,,-0.89,
2019-08-30,-0.70,,-0.91,,-0.91,
2019-08-31,.,No value available,.,No value available,.,No value available
2019-09-01,.,No value available,.,No value available,.,No value available
2019-09-02,-0.70,,-0.92,,-0.93,
2019-09-03,-0.74,,-0.96,,-0.94,
2019-09-04,-0.68,,-0.89,,-0.90,
2019-09-05,-0.64,,-0.89,,-0.90,
2019-09-06,-0.59,,-0.86,,-0.87,
2019-09-07,.,No value available,.,No value available,.,No value available
2019-09-08,.,No value available,.,No value available,.,No value available
2019-09-09,-0.60,,-0.86,,-0.86,
2019-09-10,-0.58,,-0.85,,-0.86,
2019-09-11,-0.54,,-0.83,,-0.84,
2019-09-12,-0.58,,-0.84,,-0.84,
2019-09-13,-0.50,,-0.73,,-0.71,
2019-09-14,.,No value available,.,No value available,.,No value available
2019-09-15,.,No value available,.,No value available,.,No value available
2019-09-16,-0.48,,-0.72,,-0.72,
2019-09-17,-0.49,,-0.72,,-0.72,
2019-09-18,-0.50,,-0.73,,-0.73,
2019-09-19,-0.49,,-0.71,,-0.72,
2019-09-20,-0.52,,-0.72,,-0.73,
2019-09-21,.,No value available,.,No value available,.,No value available
2019-09-22,.,No value available,.,No value available,.,No value available
2019-09-23,-0.58,,-0.75,,-0.74,
2019-09-24,-0.57,,-0.75,,-0.73,
2019-09-25,-0.61,,-0.77,,-0.75,
2019-09-26,-0.59,,-0.77,,-0.76,
2019-09-27,-0.58,,-0.77,,-0.76,
2019-09-28,.,No value available,.,No value available,.,No value available
2019-09-29,.,No value available,.,No value available,.,No value available
2019-09-30,-0.56,,-0.77,,-0.77,
2019-10-01,-0.52,,-0.75,,-0.77,
2019-10-02,-0.55,,-0.77,,-0.78,
2019-10-03,.,Missing value; holiday or weekend,.,Missing value; holiday or weekend,.,Missing value; holiday or weekend
2019-10-04,-0.60,,-0.81,,-0.79,
2019-10-05,.,No value available,.,No value available,.,No value available
2019-10-06,.,No value available,.,No value available,.,No value available
2019-10-07,-0.60,,-0.81,,-0.79,
2019-10-08,-0.58,,-0.80,,-0.79,
2019-10-09,-0.58,,-0.79,,-0.78,
2019-10-10,-0.54,,-0.74,,-0.75,
2019-10-11,-0.48,,-0.71,,-0.72,
2019-10-12,.,No value available,.,No value available,.,No value available
2019-10-13,.,No value available,.,No value available,.,No value available
2019-10-14,-0.47,,-0.71,,-0.72,
2019-10-15,-0.46,,-0.69,,-0.70,
2019-10-16,-0.43,,-0.66,,-0.70,
2019-10-17,-0.38,,-0.62,,-0.67,
2019-10-18,-0.39,,-0.63,,-0.67,
2019-10-19,.,No value available,.,No value available,.,No value available
2019-10-20,.,No value available,.,No value available,.,No value available
2019-10-21,-0.35,,-0.61,,-0.66,
2019-10-22,-0.38,,-0.62,,-0.67,
2019-10-23,-0.41,,-0.64,,-0.67,
2019-10-24,-0.39,,-0.62,,-0.67,
2019-10-25,-0.39,,-0.62,,-0.66,
2019-10-26,.,No value available,.,No value available,.,No value available
2019-10-27,.,No value available,.,No value available,.,No value available
2019-10-28,-0.35,,-0.59,,-0.65,
2019-10-29,-0.35,,-0.59,,-0.65,
2019-10-30,-0.36,,-0.58,,-0.64,
2019-10-31,-0.41,,-0.62,,-0.66,
2019-11-01,-0.40,,-0.63,,-0.66,
2019-11-02,.,No value available,.,No value available,.,No value available
2019-11-03,.,No value available,.,No value available,.,No value available
2019-11-04,-0.37,,-0.61,,-0.66,
2019-11-05,-0.32,,-0.58,,-0.65,
2019-11-06,-0.31,,-0.57,,-0.64,
2019-11-07,-0.31,,-0.55,,-0.63,
2019-11-08,-0.26,,-0.53,,-0.62,
2019-11-09,.,No value available,.,No value available,.,No value available
2019-11-10,.,No value available,.,No value available,.,No value available
2019-11-11,-0.27,,-0.60,,-0.62,
2019-11-12,-0.24,,-0.53,,-0.62,
2019-11-13,-0.29,,-0.55,,-0.62,
2019-11-14,-0.33,,-0.57,,-0.64,
2019-11-15,-0.34,,-0.59,,-0.64,
2019-11-16,.,No value available,.,No value available,.,No value available
2019-11-17,.,No value available,.,No value available,.,No value available
2019-11-18,-0.32,,-0.57,,-0.63,
2019-11-19,-0.33,,-0.57,,-0.63,
2019-11-20,-0.38,,-0.61,,-0.65,
2019-11-21,-0.34,,-0.57,,-0.64,
2019-11-22,-0.35,,-0.58,,-0.64,
2019-11-23,.,No value available,.,No value available,.,No value available
2019-11-24,.,No value available,.,No value available,.,No value available
2019-11-25,-0.35,,-0.58,,-0.64,
2019-11-26,-0.36,,-0.59,,-0.64,
2019-11-27,-0.38,,-0.60,,-0.64,
2019-11-28,-0.38,,-0.60,,-0.64,
2019-11-29,-0.37,,-0.60,,-0.64,
2019-11-30,.,No value available,.,No value available,.,No value available
2019-12-01,.,No value available,.,No value available,.,No value available
2019-12-02,-0.28,,-0.53,,-0.61,
2019-12-03,-0.28,,-0.55,,-0.62,
2019-12-04,-0.33,,-0.58,,-0.64,
2019-12-05,-0.31,,-0.55,,-0.62,
2019-12-06,-0.30,,-0.56,,-0.63,
2019-12-07,.,No value available,.,No value available,.,No value available
2019-12-08,.,No value available,.,No value available,.,No value available
2019-12-09,-0.31,,-0.56,,-0.64,
2019-12-10,-0.29,,-0.56,,-0.64,
2019-12-11,-0.32,,-0.58,,-0.65,
2019-12-12,-0.33,,-0.58,,-0.65,
2019-12-13,-0.24,,-0.51,,-0.63,
2019-12-14,.,No value available,.,No value available,.,No value available
2019-12-15,.,No value available,.,No value available,.,No value available
2019-12-16,-0.30,,-0.55,,-0.63,
2019-12-17,-0.29,,-0.54,,-0.64,
2019-12-18,-0.29,,-0.55,,-0.65,
2019-12-19,-0.22,,-0.51,,-0.63,
2019-12-20,-0.23,,-0.51,,-0.64,
2019-12-21,.,No value available,.,No value available,.,No value available
2019-12-22,.,No value available,.,No value available,.,No value available
2019-12-23,-0.26,,-0.53,,-0.65,
2019-12-24,.,Missing value; holiday or weekend,.,Missing value; holiday or weekend,.,Missing value; holiday or weekend
2019-12-25,.,Missing value; holiday or weekend,.,Missing value; holiday or weekend,.,Missing value; holiday or weekend
2019-12-26,.,Missing value; holiday or weekend,.,Missing value; holiday or weekend,.,Missing value; holiday or weekend
2019-12-27,-0.25,,-0.53,,-0.64,
2019-12-28,.,No value available,.,No value available,.,No value available
2019-12-29,.,No value available,.,No value available,.,No value available
2019-12-30,-0.21,,-0.49,,-0.62,
2019-12-31,.,No value available,.,No value available,.,No value available
2020-01-01,.,No value available,.,No value available,.,No value available
2020-01-02,-0.18,,-0.48,,-0.60,
2020-01-03,-0.28,,-0.56,,-0.63,
2020-01-04,.,No value available,.,No value available,.,No value available
2020-01-05,.,No value available,.,No value available,.,No value available
2020-01-06,-0.29,,-0.56,,-0.63,
2020-01-07,-0.28,,-0.56,,-0.62,
2020-01-08,-0.25,,-0.56,,-0.63,
2020-01-09,-0.20,,-0.51,,-0.61,
2020-01-10,-0.19,,-0.50,,-0.60,
2020-01-11,.,No value available,.,No value available,.,No value available
2020-01-12,.,No value available,.,No value available,.,No value available
2020-01-13,-0.18,,-0.49,,-0.59,
2020-01-14,-0.17,,-0.48,,-0.59,
2020-01-15,-0.21,,-0.51,,-0.60,
2020-01-16,-0.21,,-0.52,,-0.60,
2020-01-17,-0.22,,-0.52,,-0.60,
2020-01-18,.,No value available,.,No value available,.,No value available
2020-01-19,.,No value available,.,No value available,.,No value available
2020-01-20,-0.21,,-0.51,,-0.59,
2020-01-21,-0.23,,-0.52,,-0.59,
2020-01-22,-0.25,,-0.53,,-0.59,
2020-01-23,-0.28,,-0.55,,-0.59,
2020-01-24,-0.31,,-0.57,,-0.61,
2020-01-25,.,No value available,.,No value available,.,No value available
2020-01-26,.,No value available,.,No value available,.,No value available
2020-01-27,-0.36,,-0.61,,-0.63,
2020-01-28,-0.40,,-0.63,,-0.64,
2020-01-29,-0.38,,-0.59,,-0.64,
2020-01-30,-0.40,,-0.61,,-0.65,
2020-01-31,-0.41,,-0.62,,-0.66,
2020-02-01,.,No value available,.,No value available,.,No value available
2020-02-02,.,No value available,.,No value available,.,No value available
2020-02-03,-0.44,,-0.64,,-0.68,
2020-02-04,-0.41,,-0.63,,-0.66,
2020-02-05,-0.37,,-0.60,,-0.65,
2020-02-06,-0.36,,-0.58,,-0.64,
2020-02-07,-0.39,,-0.61,,-0.64,
2020-02-08,.,No value available,.,No value available,.,No value available
2020-02-09,.,No value available,.,No value available,.,No value available
2020-02-10,-0.40,,-0.61,,-0.65,
2020-02-11,-0.39,,-0.60,,-0.64,
2020-02-12,-0.37,,-0.60,,-0.64,
2020-02-13,-0.41,,-0.62,,-0.65,
2020-02-14,-0.40,,-0.61,,-0.65,
2020-02-15,.,No value available,.,No value available,.,No value available
2020-02-16,.,No value available,.,No value available,.,No value available
2020-02-17,-0.40,,-0.62,,-0.66,
2020-02-18,-0.43,,-0.63,,-0.65,
2020-02-19,-0.42,,-0.63,,-0.65,
2020-02-20,-0.42,,-0.62,,-0.64,
2020-02-21,-0.45,,-0.62,,-0.64,
2020-02-22,.,No value available,.,No value available,.,No value available
2020-02-23,.,No value available,.,No value available,.,No value available
2020-02-24,-0.49,,-0.67,,-0.68,
2020-02-25,-0.50,,-0.68,,-0.69,
2020-02-26,-0.52,,-0.70,,-0.71,
2020-02-27,-0.52,,-0.71,,-0.72,
2020-02-28,-0.61,,-0.76,,-0.78,
2020-02-29,.,No value available,.,No value available,.,No value available
2020-03-01,.,No value available,.,No value available,.,No value available
2020-03-02,-0.63,,-0.76,,-0.81,
2020-03-03,-0.58,,-0.76,,-0.79,
2020-03-04,-0.64,,-0.81,,-0.82,
2020-03-05,-0.63,,-0.83,,-0.83,
2020-03-06,-0.73,,-0.89,,-0.90,
2020-03-07,.,No value available,.,No value available,.,No value available
2020-03-08,.,No value available,.,No value available,.,No value available
2020-03-09,-0.83,,-0.95,,-0.95,
2020-03-10,-0.75,,-0.90,,-0.93,
2020-03-11,-0.76,,-0.92,,-0.96,
2020-03-12,-0.79,,-0.96,,-1.02,
2020-03-13,-0.63,,-0.85,,-0.95,
2020-03-14,.,No value available,.,No value available,.,No value available
2020-03-15,.,No value available,.,No value available,.,No value available
2020-03-16,-0.56,,-0.77,,-0.91,
2020-03-17,-0.41,,-0.65,,-0.88,
2020-03-18,-0.27,,-0.54,,-0.79,
2020-03-19,-0.27,,-0.50,,-0.74,
2020-03-20,-0.26,,-0.46,,-0.65,
2020-03-21,.,No value available,.,No value available,.,No value available
2020-03-22,.,No value available,.,No value available,.,No value available
2020-03-23,-0.39,,-0.57,,-0.71,
2020-03-24,-0.36,,-0.54,,-0.68,
2020-03-25,-0.29,,-0.51,,-0.62,
2020-03-26,-0.31,,-0.50,,-0.62,
2020-03-27,-0.45,,-0.65,,-0.70,
2020-03-28,.,No value available,.,No value available,.,No value available
2020-03-29,.,No value available,.,No value available,.,No value available
2020-03-30,-0.54,,-0.69,,-0.74,
2020-03-31,-0.48,,-0.66,,-0.71,
2020-04-01,-0.51,,-0.66,,-0.70,
2020-04-02,-0.42,,-0.58,,-0.67,
2020-04-03,-0.45,,-0.60,,-0.67,
2020-04-04,.,No value available,.,No value available,.,No value available
2020-04-05,.,No value available,.,No value available,.,No value available
2020-04-06,-0.43,,-0.59,,-0.67,
2020-04-07,-0.37,,-0.57,,-0.66,
2020-04-08,-0.34,,-0.55,,-0.64,
2020-04-09,-0.32,,-0.54,,-0.63,
2020-04-10,.,No value available,.,No value available,.,No value available
2020-04-11,.,No value available,.,No value available,.,No value available
2020-04-12,.,No value available,.,No value available,.,No value available
2020-04-13,.,No value available,.,No value available,.,No value available
2020-04-14,-0.35,,-0.57,,-0.65,
2020-04-15,-0.42,,-0.63,,-0.70,
2020-04-16,-0.45,,-0.63,,-0.69,
2020-04-17,-0.47,,-0.66,,-0.70,
2020-04-18,.,No value available,.,No value available,.,No value available
2020-04-19,.,No value available,.,No value available,.,No value available
2020-04-20,-0.49,,-0.67,,-0.72,
2020-04-21,-0.47,,-0.65,,-0.68,
2020-04-22,-0.46,,-0.66,,-0.69,
2020-04-23,-0.42,,-0.63,,-0.70,
2020-04-24,-0.46,,-0.70,,-0.65,
2020-04-25,.,No value available,.,No value available,.,No value available
2020-04-26,.,No value available,.,No value available,.,No value available
2020-04-27,-0.47,,-0.66,,-0.71,
2020-04-28,-0.45,,-0.63,,-0.68,
2020-04-29,-0.48,,-0.67,,-0.71,
2020-04-30,-0.51,,-0.69,,-0.73,
2020-05-01,.,Missing value; holiday or weekend,.,Missing value; holiday or weekend,.,Missing value; holiday or weekend
2020-05-02,.,No value available,.,No value available,.,No value available
2020-05-03,.,No value available,.,No value available,.,No value available
2020-05-04,-0.58,,-0.77,,-0.78,
2020-05-05,-0.54,,-0.75,,-0.78,
2020-05-06,-0.56,,-0.74,,-0.78,
2020-05-07,-0.50,,-0.72,,-0.75,
2020-05-08,-0.56,,-0.77,,-0.79,
2020-05-09,.,No value available,.,No value available,.,No value available
2020-05-10,.,No value available,.,No value available,.,No value available
2020-05-11,-0.52,,-0.74,,-0.77,
2020-05-12,-0.51,,-0.71,,-0.74,
2020-05-13,-0.53,,-0.75,,-0.75,
2020-05-14,-0.55,,-0.74,,-0.76,
2020-05-15,-0.55,,-0.75,,-0.76,
2020-05-16,.,No value available,.,No value available,.,No value available
2020-05-17,.,No value available,.,No value available,.,No value available
2020-05-18,-0.56,,-0.75,,-0.77,
2020-05-19,-0.48,,-0.69,,-0.70,
2020-05-20,-0.46,,-0.66,,-0.68,
2020-05-21,-0.47,,-0.66,,-0.69,
2020-05-22,-0.50,,-0.69,,-0.70,
2020-05-23,.,No value available,.,No value available,.,No value available
2020-05-24,.,No value available,.,No value available,.,No value available
2020-05-25,-0.49,,-0.68,,-0.69,
2020-05-26,-0.44,,-0.63,,-0.65,
2020-05-27,-0.46,,-0.63,,-0.67,
2020-05-28,-0.43,,-0.62,,-0.65,
2020-05-29,-0.43,,-0.63,,-0.64,
2020-05-30,.,No value available,.,No value available,.,No value available
2020-05-31,.,No value available,.,No value available,.,No value available
2020-06-01,.,No value available,.,No value available,.,No value available
2020-06-02,-0.42,,-0.62,,-0.67,
2020-06-03,-0.38,,-0.60,,-0.65,
2020-06-04,-0.36,,-0.59,,-0.64,
2020-06-05,-0.31,,-0.57,,-0.62,
2020-06-06,.,No value available,.,No value available,.,No value available
2020-06-07,.,No value available,.,No value available,.,No value available
2020-06-08,-0.28,,-0.56,,-0.61,
2020-06-09,-0.34,,-0.58,,-0.63,
2020-06-10,-0.33,,-0.58,,-0.62,
2020-06-11,-0.39,,-0.61,,-0.65,
2020-06-12,-0.42,,-0.64,,-0.66,
2020-06-13,.,No value available,.,No value available,.,No value available
2020-06-14,.,No value available,.,No value available,.,No value available
2020-06-15,-0.45,,-0.67,,-0.68,
2020-06-16,-0.43,,-0.64,,-0.66,
2020-06-17,-0.37,,-0.63,,-0.66,
2020-06-18,-0.39,,-0.64,,-0.66,
2020-06-19,-0.41,,-0.65,,-0.67,
2020-06-20,.,No value available,.,No value available,.,No value available
2020-06-21,.,No value available,.,No value available,.,No value available
2020-06-22,-0.42,,-0.67,,-0.69,
2020-06-23,-0.42,,-0.67,,-0.68,
2020-06-24,-0.41,,-0.67,,-0.67,
2020-06-25,-0.46,,-0.70,,-0.69,
2020-06-26,-0.48,,-0.71,,-0.71,
2020-06-27,.,No value available,.,No value available,.,No value available
2020-06-28,.,No value available,.,No value available,.,No value available
2020-06-29,-0.47,,-0.71,,-0.71,
2020-06-30,-0.48,,-0.71,,-0.70,
2020-07-01,-0.44,,-0.68,,-0.70,
2020-07-02,-0.41,,-0.65,,-0.67,
2020-07-03,-0.45,,-0.69,,-0.69,
2020-07-04,.,No value available,.,No value available,.,No value available
2020-07-05,.,No value available,.,No value available,.,No value available
2020-07-06,-0.44,,-0.69,,-0.70,
2020-07-07,-0.45,,-0.68,,-0.69,
2020-07-08,-0.45,,-0.66,,-0.69,
2020-07-09,-0.44,,-0.65,,-0.68,
2020-07-10,-0.49,,-0.69,,-0.70,
2020-07-11,.,No value available,.,No value available,.,No value available
2020-07-12,.,No value available,.,No value available,.,No value available
2020-07-13,-0.46,,-0.67,,-0.69,
2020-07-14,-0.43,,-0.63,,-0.66,
2020-07-15,-0.46,,-0.66,,-0.67,
2020-07-16,-0.45,,-0.65,,-0.67,
2020-07-17,-0.46,,-0.67,,-0.69,
2020-07-18,.,No value available,.,No value available,.,No value available
2020-07-19,.,No value available,.,No value available,.,No value available
2020-07-20,-0.44,,-0.64,,-0.67,
2020-07-21,-0.46,,-0.67,,-0.67,
2020-07-22,-0.48,,-0.68,,-0.69,
2020-07-23,-0.49,,-0.69,,-0.69,
2020-07-24,-0.47,,-0.66,,-0.67,
2020-07-25,.,No value available,.,No value available,.,No value available
2020-07-26,.,No value available,.,No value available,.,No value available
2020-07-27,-0.47,,-0.66,,-0.66,
2020-07-28,-0.50,,-0.68,,-0.68,
2020-07-29,-0.51,,-0.70,,-0.70,
2020-07-30,-0.53,,-0.72,,-0.71,
2020-07-31,-0.55,,-0.74,,-0.72,
2020-08-01,.,No value available,.,No value available,.,No value available
2020-08-02,.,No value available,.,No value available,.,No value available
2020-08-03,-0.52,,-0.72,,-0.71,
2020-08-04,-0.54,,-0.73,,-0.72,
2020-08-05,-0.54,,-0.72,,-0.71,
2020-08-06,-0.53,,-0.70,,-0.70,
2020-08-07,-0.53,,-0.72,,-0.70,
2020-08-08,.,No value available,.,No value available,.,No value available
2020-08-09,.,No value available,.,No value available,.,No value available
2020-08-10,-0.52,,-0.71,,-0.69,
2020-08-11,-0.51,,-0.70,,-0.70,
2020-08-12,-0.45,,-0.66,,-0.68,
2020-08-13,-0.47,,-0.66,,-0.67,
2020-08-14,-0.42,,-0.64,,-0.65,
2020-08-15,.,No value available,.,No value available,.,No value available
2020-08-16,.,No value available,.,No value available,.,No value available
2020-08-17,-0.43,,-0.64,,-0.66,
2020-08-18,-0.47,,-0.67,,-0.67,
2020-08-19,-0.48,,-0.68,,-0.67,
2020-08-20,-0.48,,-0.68,,-0.68,
2020-08-21,-0.51,,-0.71,,-0.69,
2020-08-22,.,No value available,.,No value available,.,No value available
2020-08-23,.,No value available,.,No value available,.,No value available
2020-08-24,-0.49,,-0.69,,-0.68,
2020-08-25,-0.47,,-0.68,,-0.67,
2020-08-26,-0.42,,-0.63,,-0.65,
2020-08-27,-0.45,,-0.67,,-0.67,
2020-08-28,-0.39,,-0.64,,-0.66,
2020-08-29,.,No value available,.,No value available,.,No value available
2020-08-30,.,No value available,.,No value available,.,No value available
2020-08-31,-0.39,,-0.63,,-0.66,
2020-09-01,-0.39,,-0.63,,-0.66,
2020-09-02,-0.45,,-0.68,,-0.69,
2020-09-03,-0.46,,-0.70,,-0.70,
2020-09-04,-0.48,,-0.71,,-0.71,
2020-09-05,.,No value available,.,No value available,.,No value available
2020-09-06,.,No value available,.,No value available,.,No value available
2020-09-07,-0.47,,-0.69,,-0.69,
